340, 78, 300, 59
339, 78, 298, 60
338, 79, 299, 60
338, 342, 210, 60
339, 77, 210, 57
341, 347, 210, 55
351, 342, 118, 337
354, 342, 115, 338
356, 346, 117, 343
357, 349, 118, 44
358, 350, 119, 44
359, 351, 121, 45
359, 353, 121, 47
359, 353, 123, 48
0, 353, 123, 48
1, 355, 124, 47
2, 355, 123, 45
1, 355, 123, 43
2, 355, 123, 43
63, 357, 57, 44
24, 359, 106, 46
2, 0, 128, 48
4, 2, 129, 50
3, 3, 130, 51
4, 5, 131, 52
5, 6, 132, 53
6, 9, 134, 54
6, 11, 135, 55
9, 12, 136, 56
31, 12, 135, 57
15, 14, 136, 57
12, 16, 137, 58
12, 17, 137, 59
12, 18, 138, 60
13, 20, 138, 61
14, 21, 140, 62
16, 22, 142, 62
17, 24, 143, 64
16, 27, 145, 66
17, 30, 148, 68
18, 31, 149, 69
19, 33, 151, 69
22, 35, 151, 69
23, 38, 234, 69
24, 40, 266, 69
24, 43, 229, 70
23, 45, 230, 69
24, 48, 230, 70
26, 51, 229, 71
28, 54, 208, 72
30, 56, 162, 73
30, 58, 196, 73
31, 60, 226, 73
33, 91, 179, 73
36, 94, 166, 72
37, 95, 165, 70
38, 96, 164, 69
39, 97, 164, 69
38, 98, 167, 70
113, 101, 168, 69
116, 101, 169, 69
121, 103, 169, 70
123, 104, 170, 70
126, 106, 169, 70
126, 107, 167, 69
127, 109, 166, 69
129, 111, 165, 68
130, 113, 164, 67
131, 114, 161, 66
133, 117, 158, 65
136, 119, 153, 63
137, 121, 148, 62
138, 125, 145, 61
140, 128, 143, 61
142, 129, 142, 60
143, 130, 138, 60
143, 130, 136, 60
143, 131, 135, 58
143, 133, 133, 56
144, 157, 131, 242
145, 139, 126, 55
145, 140, 122, 54
145, 142, 117, 52
144, 142, 114, 52
144, 143, 36, 51
144, 143, 35, 51
144, 144, 32, 51
144, 148, 30, 49
144, 149, 28, 47
143, 181, 26, 342
143, 183, 25, 340
142, 184, 23, 339
140, 186, 21, 338
139, 189, 20, 337
138, 191, 19, 336
137, 193, 17, 333
136, 196, 13, 331
136, 199, 11, 327
136, 200, 7, 326
137, 201, 5, 323
136, 202, 2, 321
136, 205, 359, 319
135, 208, 356, 317
133, 212, 306, 313
132, 215, 306, 312
131, 217, 347, 311
131, 218, 346, 311
130, 219, 345, 311
130, 219, 344, 311
130, 220, 294, 310
130, 222, 341, 310
130, 222, 341, 309
129, 224, 338, 309
130, 225, 327, 170
131, 226, 330, 307
130, 227, 290, 306
129, 228, 303, 306
131, 230, 303, 306
131, 231, 302, 305
130, 232, 320, 301
130, 232, 322, 302
129, 231, 343, 302
126, 233, 318, 304
126, 234, 318, 306
124, 234, 319, 306
119, 235, 318, 305
54, 236, 317, 304
53, 237, 316, 302
51, 237, 317, 302
49, 240, 274, 300
125, 241, 316, 298
125, 267, 8, 298
126, 268, 2, 298
124, 268, 307, 296
124, 269, 307, 296
208, 269, 307, 296
211, 271, 307, 298
298, 274, 307, 300
301, 277, 16, 302
302, 277, 13, 305
303, 277, 9, 305
304, 277, 7, 305
304, 289, 24, 307
304, 291, 23, 309
305, 290, 357, 307
306, 290, 355, 306
307, 291, 353, 307
309, 291, 351, 309
309, 292, 351, 309
311, 292, 351, 310
312, 293, 352, 312
312, 294, 350, 312
311, 295, 348, 312
311, 295, 347, 313
312, 297, 347, 313
314, 298, 347, 312
316, 299, 351, 312
317, 301, 347, 312
317, 302, 345, 310
316, 303, 344, 308
315, 304, 342, 264
316, 305, 342, 264
316, 306, 341, 263
317, 307, 340, 263
317, 309, 338, 261
317, 310, 338, 259
318, 312, 336, 257
317, 313, 334, 256
318, 315, 333, 255
316, 317, 331, 252
315, 319, 329, 250
333, 322, 328, 249
332, 324, 323, 248
331, 326, 323, 246
309, 327, 321, 245
330, 329, 323, 242
331, 330, 321, 242
340, 331, 308, 240
339, 332, 308, 237
338, 333, 308, 235
338, 335, 307, 233
331, 336, 305, 231
330, 337, 302, 229
328, 338, 301, 228
328, 338, 298, 226
91, 350, 224, 165
327, 351, 295, 165
327, 353, 294, 165
326, 355, 291, 165
326, 356, 291, 165
325, 356, 219, 165
325, 17, 218, 165
325, 19, 216, 162
325, 19, 214, 162
325, 20, 212, 159
325, 20, 210, 159
326, 21, 208, 158
326, 21, 206, 157
326, 22, 204, 156
327, 22, 203, 155
327, 22, 201, 154
327, 22, 200, 154
327, 22, 199, 153
328, 23, 198, 152
327, 21, 197, 152
328, 16, 196, 152
328, 15, 194, 150
328, 17, 193, 150
328, 18, 193, 148
328, 17, 192, 147
328, 17, 191, 147
328, 18, 190, 147
328, 19, 187, 145
328, 20, 186, 143
328, 20, 185, 143
328, 21, 184, 142
329, 21, 182, 141
329, 22, 181, 140
330, 22, 179, 140
330, 22, 179, 139
330, 22, 179, 139
330, 22, 179, 139
331, 21, 179, 140
330, 22, 180, 139
330, 22, 180, 140
330, 22, 181, 140
329, 23, 179, 139
330, 23, 178, 139
1, 24, 153, 138
2, 25, 153, 138
2, 26, 154, 138
2, 27, 154, 137
4, 27, 155, 137
4, 28, 156, 137
5, 29, 157, 136
7, 30, 159, 136
9, 31, 160, 135
10, 32, 162, 134
11, 33, 162, 135
10, 34, 162, 134
10, 33, 162, 135
10, 32, 162, 137
323, 32, 167, 139
322, 31, 173, 141
320, 29, 179, 145
320, 26, 186, 148
320, 25, 191, 150
321, 24, 194, 154
323, 25, 198, 155
324, 11, 200, 156
324, 9, 202, 156
327, 6, 204, 157
328, 4, 206, 157
331, 358, 207, 155
334, 355, 207, 154
336, 353, 207, 152
338, 351, 206, 148
341, 351, 205, 58
350, 349, 123, 52
355, 347, 119, 47
359, 347, 115, 42
2, 347, 111, 34
6, 342, 40, 359
11, 342, 42, 3
13, 340, 45, 6
18, 330, 47, 10
21, 332, 48, 15
23, 333, 48, 17
26, 331, 49, 17
27, 331, 50, 22
30, 317, 52, 25
31, 318, 96, 6
32, 317, 97, 8
34, 319, 96, 9
35, 319, 95, 9
34, 318, 96, 10
35, 316, 96, 14
36, 319, 95, 17
37, 319, 95, 18
40, 319, 94, 21
41, 319, 93, 21
44, 319, 91, 21
46, 310, 91, 32
49, 307, 91, 30
53, 305, 89, 33
54, 306, 88, 37
57, 302, 62, 37
59, 302, 61, 41
89, 27, 60, 39
90, 31, 58, 44
92, 120, 58, 340
94, 122, 56, 350
97, 123, 54, 356
100, 130, 53, 357
103, 130, 53, 11
105, 130, 52, 12
106, 130, 52, 12
108, 130, 51, 12
109, 131, 50, 12
110, 132, 50, 14
112, 132, 50, 16
112, 134, 50, 17
81, 135, 49, 19
113, 136, 49, 20
119, 136, 47, 22
120, 136, 48, 22
120, 137, 48, 22
120, 136, 49, 23
121, 137, 48, 25
123, 137, 48, 27
125, 138, 47, 29
126, 138, 47, 31
126, 137, 48, 31
125, 137, 48, 31
125, 137, 48, 31
126, 137, 101, 33
128, 137, 103, 35
129, 137, 103, 35
129, 137, 104, 37
131, 137, 105, 40
133, 138, 107, 42
136, 139, 107, 43
137, 140, 40, 45
139, 142, 38, 46
140, 142, 37, 47
142, 143, 35, 49
144, 144, 32, 51
146, 145, 31, 52
147, 148, 30, 53
149, 150, 29, 55
152, 178, 27, 330
153, 179, 27, 240
178, 181, 302, 238
179, 182, 301, 236
181, 182, 300, 234
182, 183, 298, 232
184, 185, 297, 231
185, 186, 296, 230
187, 186, 294, 227
189, 187, 293, 225
190, 187, 292, 224
191, 186, 292, 223
193, 190, 290, 222
194, 191, 289, 222
195, 191, 288, 221
196, 191, 287, 220
197, 191, 286, 219
200, 191, 284, 216
202, 191, 283, 213
202, 192, 282, 214
202, 192, 283, 214
200, 192, 286, 217
196, 191, 288, 220
194, 190, 287, 220
193, 179, 223, 219
193, 142, 220, 157
190, 132, 214, 141
189, 127, 32, 138
189, 118, 195, 139
190, 116, 191, 144
45, 115, 182, 150
199, 112, 184, 157
203, 112, 116, 165
208, 112, 118, 175
27, 112, 191, 183
219, 113, 206, 187
220, 113, 209, 191
223, 112, 211, 191
225, 109, 214, 185
226, 106, 22, 293
226, 114, 26, 201
227, 118, 27, 210
229, 132, 220, 157
230, 193, 224, 170
230, 193, 237, 165
228, 194, 241, 165
223, 193, 243, 196
222, 194, 267, 199
219, 195, 271, 201
211, 195, 274, 201
210, 196, 277, 165
210, 196, 280, 199
212, 196, 281, 203
216, 195, 281, 205
220, 196, 280, 197
222, 198, 278, 194
228, 205, 276, 199
228, 208, 276, 172
238, 210, 275, 168
268, 27, 277, 224
271, 26, 277, 217
274, 24, 278, 211
276, 23, 278, 208
328, 20, 252, 204
281, 18, 279, 201
283, 17, 280, 198
286, 16, 281, 195
288, 16, 281, 192
290, 15, 283, 184
293, 14, 283, 183
298, 12, 285, 178
300, 10, 286, 175
304, 10, 288, 174
307, 10, 288, 173
309, 9, 287, 172
310, 5, 287, 172
312, 1, 288, 172
313, 0, 290, 172
315, 358, 291, 170
317, 354, 292, 170
319, 352, 293, 168
322, 350, 294, 165
325, 340, 295, 229
328, 340, 294, 230
330, 340, 294, 153
332, 340, 294, 151
333, 342, 295, 150
335, 342, 296, 59
338, 341, 212, 57
339, 341, 211, 56
341, 342, 299, 335
348, 342, 120, 337
349, 341, 31, 335
351, 341, 31, 338
352, 340, 32, 338
354, 340, 32, 41
355, 342, 32, 37
357, 338, 32, 36
358, 337, 32, 349
359, 338, 33, 352
1, 338, 34, 354
2, 339, 35, 356
3, 339, 36, 357
4, 340, 37, 358
312, 341, 201, 359
6, 341, 40, 0
5, 340, 40, 1
6, 341, 40, 1
7, 340, 40, 3
9, 340, 41, 4
9, 340, 41, 5
11, 340, 42, 6
12, 340, 43, 9
13, 338, 44, 9
15, 333, 46, 13
17, 335, 47, 16
20, 335, 49, 18
21, 335, 49, 21
22, 336, 113, 22
24, 335, 118, 26
24, 334, 96, 27
26, 333, 98, 30
28, 317, 97, 30
31, 316, 97, 15
32, 316, 96, 21
35, 319, 97, 25
37, 319, 97, 31
39, 11, 97, 34
40, 13, 98, 354
41, 15, 100, 357
41, 17, 102, 0
42, 19, 103, 4
42, 20, 104, 10
199, 22, 167, 17
38, 23, 110, 23
36, 26, 
